 URL                            Resolved IP      Reversed DNS    
 www.tiktok.com                 202.83.24.75     broadband.actcorp.in
 www.ushareit.com               202.83.24.75     broadband.actcorp.in
 www.kwai.com                   202.83.24.75     broadband.actcorp.in
 www.shein.in                   23.44.10.72      a23-44-10-72.deploy.static.akamaitechnologies.com
 www.shein.in                   23.44.10.48      a23-44-10-48.deploy.static.akamaitechnologies.com
 mt.meipai.com                  202.83.24.75     broadband.actcorp.in
 m.ucweb.com                    202.83.24.75     broadband.actcorp.in
 www.ucweb.com                  202.83.24.75     broadband.actcorp.in
 www.xender.com                 202.83.24.75     broadband.actcorp.in
 map.baidu.com                  202.83.24.75     broadband.actcorp.in
 www.helo-app.com               202.83.24.75     broadband.actcorp.in
 likee.com                      202.83.24.75     broadband.actcorp.in
 www.perfectcorp.com            202.83.24.75     broadband.actcorp.in
 in.c.mi.com                    202.83.24.75     broadband.actcorp.in
 www.apusapps.com               202.83.24.75     broadband.actcorp.in
 www.vivavideo.tv               202.83.24.75     broadband.actcorp.in
 www.clubfactory.com            202.83.24.75     broadband.actcorp.in
 www.romwe.co.in                202.83.24.75     broadband.actcorp.in
 www.newsdogapp.com             202.83.24.75     broadband.actcorp.in
 www.beautyplus.com             202.83.24.75     broadband.actcorp.in
 www.ucnews.in                  202.83.24.75     broadband.actcorp.in
 www.qq.com                     202.83.24.75     broadband.actcorp.in
 mail.qq.com                    202.83.24.75     broadband.actcorp.in
 www.weibo.com                  202.83.24.75     broadband.actcorp.in
 www.estrongs.com               202.83.24.75     broadband.actcorp.in
 y.qq.com                       202.83.24.75     broadband.actcorp.in
 www.elevenboxstudio.com        202.83.24.75     broadband.actcorp.in
 cok.elex-tech.com              202.83.24.75     broadband.actcorp.in
 mail.163.com                   202.83.24.75     broadband.actcorp.in
 parallelspace-app.com          202.83.24.75     broadband.actcorp.in
 www.bigo.tv                    202.83.24.75     broadband.actcorp.in
