Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
STOCKHOLM, sto-t1a-stkx-hrt01, 192.168.194.155, GE_1/8/5, 172.31.237.13,10, STOCKHOLM, sto-t1a-rt04, 192.168.254.63, GigabitEthernet0/0/1, 172.31.237.14,10,  europe,  
SEOUL2, seo2-t1a-OO7x-hrt01, 192.168.194.76, GE_5/1/10, 172.31.205.41,65535, SEOUL, seo-t1a-aicna-acn-rt01, 192.168.201.12, GigabitEthernet0/0/0, 172.31.205.42,65535,  apac,3
CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, STM4_3/1/14, 172.23.250.37,1000, CHICAGO, ch-t1a-rt03, 192.168.248.21, POS3/1/0, 172.23.250.38,1000,  americas,  
FRANKFURT3, fft3-t1a-fr1x-hrt01, 192.168.194.172, TE_5/1/13, 172.31.207.21,500, FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, TE_5/1/13, 172.31.207.22,500,  europe,0.67
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, TE_1/1/14, 172.31.190.5,2900, DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, TE_4/1/1, 172.31.190.6,2900,  americas,33.6
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_1/1/13, 172.31.247.121,65535, LONDON, ln-t1a-l78x-hpe01, 192.168.246.170, TE_10/1/14, 172.31.247.122,65535,  europe,  
VIETNAM, vi-t1a-asgna-acn-rt01, 192.168.201.111, GigabitEthernet0/0/0, 172.31.82.146,65535, VIETNAM, vi-t1a-rt01, 192.168.251.108, GigabitEthernet1/0/1, 172.31.82.145,65535,  apac,  
FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_2/1/14, 172.23.182.66,15, FRANKFURT, fft-t1a-hpe02, 192.168.254.40, TE_5/1/13, 172.23.182.65,15,  europe,  
HONGKONG, hk-t1a-h99x-hpe01, 192.168.194.50, TE_1/1/13, 172.31.248.241,15, HONGKONG, hk-t1a-cr02, 192.168.253.7, TenGigabitEthernet2/1, 172.31.248.242,15,  apac,  
HIGH BRIDGE, hbg-t1a-hb9x-hrt01, 192.168.194.13, TE_3/2/14, 172.28.141.218,10, HIGH BRIDGE, hbg-t1a-hb9x-hrt02, 192.168.201.197, TE_2/2/1, 172.28.141.217,10,  europe,  
