,Location,hostname,interface,hostname.1,interface.1
0,STOCKHOLM,STO-T1A-STKX-HRT01,GE_1/8/5,STO-T1A-RT04,GIGABITETHERNET0/0/1
1,SEOUL2,SEO2-T1A-OO7X-HRT01,GE_5/1/10,SEO-T1A-AICNA-ACN-RT01,GIGABITETHERNET0/0/0
2,CHICAGO,CH-T1A-CT8X-HPE01,STM4_3/1/14,CH-T1A-RT03,POS3/1/0
3,FRANKFURT3,FFT3-T1A-FR1X-HRT01,TE_5/1/13,FFT2-T1A-FEQX-HRT01,TE_5/1/13
4,LOS ANGELES,LA-T1A-27GX-HPE01,TE_1/1/14,DA-T1A-D0VX-HPE01,TE_4/1/1
5,LONDON,LN-T1A-L78X-HCR02,TE_1/1/13,LN-T1A-L78X-HPE01,TE_10/1/14
6,VIETNAM,VI-T1A-ASGNA-ACN-RT01,GIGABITETHERNET0/0/0,VI-T1A-RT01,GIGABITETHERNET1/0/1
7,FRANKFURT,FFT-T1A-FNM-HCR01,TE_2/1/14,FFT-T1A-HPE02,TE_5/1/13
8,HONGKONG,HK-T1A-H99X-HPE01,TE_1/1/13,HK-T1A-CR02,TENGIGABITETHERNET2/1
9,HIGH BRIDGE,HBG-T1A-HB9X-HRT01,TE_3/2/14,HBG-T1A-HB9X-HRT02,TE_2/2/1
10,LUANDA,LUA-T1A-ALADA-ACN-RT01,GIGABITETHERNET0/1/0,LUA-T1A-ALADA-ACN-RT02,GIGABITETHERNET0/1/0
11,CHICAGO,CH-T1A-RT01,GIGABITETHERNET4/0/1,CH-T1A-RT03,GIGABITETHERNET3/0/1
12,AMSTERDAM,AM-T1A-A99X-HRT01,TE_2/2/2,COP-T1A-ACPHB-HRT01,TE_1/2/13
13,NEW YORK,NY-T1A-N99X-HCR01,GE_1/1/1,NY-T1A-RT01,GIGABITETHERNET4/1/0
14,ZURICH,ZU-T1A-RT01,GIGABITETHERNET3/0/1,ZU-T1A-RT02,GIGABITETHERNET3/0/1
15,TOKYO,TK-T1A-T0VX-HCR02,GE_1/1/2,TK-T1A-T0VX-HCR01,GE_5/1/3
16,BALI,BAL-T1A-EAHX-ACN-RT01,GIGABITETHERNET0/0/1,BAL-T1A-EAHX-ACN-RT02,GIGABITETHERNET0/0/1
17,NAIROBI,NAI-T1A-RT01,GIGABITETHERNET4/0/2,NAI2-T1A-HRT01,GE_1/7/4
18,SINGAPORE,SI-T1A-SVWX-HCR02,TE_5/2/13,SI-T1A-HCR01,TE_4/1/4
19,DOHA,DOH-T1A-RT01,POS0/1/0,BAH-T1A-HRT01,STM1_1/12/2
20,PARIS,PAR-T1A-P96X-HCR01,TE_2/2/1,LN-T1A-HCR01,TE_4/1/3
21,LONDON2,LN2-T1A-LDNX-HRT01,GE_5/1/9,DUB-T1A-RT02,GIGABITETHERNET3/0/3
22,MANILA,MLA-T1A-AMNLA-ACN-RT01,GIGABITETHERNET0/0/0,MLA2-T1A-GX0X-HRT01,GE_1/1/7
23,SINGAPORE,SI-T1A-SVWX-HCR02,GE_1/1/3,SI-T1A-RT01,GIGABITETHERNET4/1/0
24,MIAMI,MIA-T1A-MLNX-HPE02,GE_1/1/1,MIA-T1A-RT01,GIGABITETHERNET2/1/3
25,BANGKOK,BNK-T1A-WGZX-ACN-RT01,GIGABITETHERNET0/2/1,BNK-T1A-RT01,GIGABITETHERNET0/0/4
26,FRANKFURT,FFT-T1A-FNMX-HCR02,GE_5/1/4,FFT-T1A-RT07-ASBR,GIGABITETHERNET1/0/0
27,HONGKONG,HK-T1A-RT02-PE,GIGABITETHERNET4/0/3,HK-T1A-RT08-PE,GIGABITETHERNET2/0/0
28,MADRID,MA-T1A-WV6X-HRT01,GE_1/1/12,MA-T1A-RT01,GIGABITETHERNET2/1/1
29,ASHBURN,ASH-T1A-AE6X-HRT03,GE_1/1/8,ASH-T1A-AE6X-RT04,GIGABITETHERNET0/0/2
30,LOS ANGELES,LA-T1A-27GX-HPE01,TE_1/1/13,LA-T1A-CR01,TENGIGABITETHERNET2/2
31,KUALALAMPUR,KL-T1A-KVDX-RT03,GIGABITETHERNET1/0/0,KL-T1A-KVDX-HRT01,GE_2/1/9
32,JAKARTA2,JK2-T1A-IJNX-RT01,GIGABITETHERNET0/0/0,JK-T1A-RT01,GIGABITETHERNET1/0/2
33,OSAKA,OSA-T1A-RT02,GIGABITETHERNET3/1/2,TK2-T1A-RT01,GIGABITETHERNET0/1/0
34,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/2,SI2-T1A-RT01,GIGABITETHERNET8/0/2
35,JAKARTA2,JK2-T1A-IJNX-RT01,GIGABITETHERNET0/0/1,JK-T1A-ACGKA-ACN-RT02,GIGABITETHERNET0/0/0
